1. How long it takes to finish 4 queries?
4 queries search time: 0.9205 min


2. Retrieval result of 4 queries
901	Hong Kong economics Singapore
901 Q0 XIE19970621.0096 1 6.387513168812908E-13 MYRUN
901 Q0 XIE19960430.0151 2 2.796900874440774E-13 MYRUN
901 Q0 XIE19970709.0206 3 2.7081048864145554E-13 MYRUN
901 Q0 XIE19970623.0142 4 5.338725719468185E-14 MYRUN
901 Q0 XIE19960514.0138 5 3.656223136803337E-14 MYRUN
901 Q0 XIE19970827.0020 6 3.3231845617543575E-14 MYRUN
901 Q0 XIE19960508.0140 7 3.197502722353469E-14 MYRUN
901 Q0 XIE19971012.0103 8 2.669072240194656E-14 MYRUN
901 Q0 XIE19960716.0181 9 2.3729345998437766E-14 MYRUN
901 Q0 XIE19960531.0092 10 1.5242391140206522E-14 MYRUN
901 Q0 XIE19960904.0319 11 1.1907759840607856E-14 MYRUN
901 Q0 XIE19970630.0179 12 1.050327634812511E-14 MYRUN
901 Q0 XIE19960524.0147 13 8.974663329371999E-15 MYRUN
901 Q0 XIE19970809.0119 14 8.807768007194409E-15 MYRUN
901 Q0 XIE19960611.0075 15 7.552221941653466E-15 MYRUN
901 Q0 XIE19971203.0274 16 6.810886094814673E-15 MYRUN
901 Q0 XIE19971017.0205 17 6.810886094814673E-15 MYRUN
901 Q0 XIE19971111.0159 18 5.216553452235675E-15 MYRUN
901 Q0 XIE19971111.0510 19 5.216553452235675E-15 MYRUN
901 Q0 XIE19970110.0094 20 5.204192918910748E-15 MYRUN
902	Homosexual acceptance Europe
902 Q0 XIE19960622.0121 1 1.096326539192764E-14 MYRUN
902 Q0 NYT20000103.0428 2 4.979338443767224E-15 MYRUN
902 Q0 NYT20000629.0326 3 2.642350634688988E-15 MYRUN
902 Q0 XIE19960828.0241 4 1.6430061132367223E-15 MYRUN
902 Q0 NYT19990822.0211 5 1.5210716749098726E-15 MYRUN
902 Q0 NYT19981218.0058 6 1.341588905871105E-15 MYRUN
902 Q0 NYT20000628.0038 7 9.315101592902332E-16 MYRUN
902 Q0 NYT20000106.0069 8 7.924094620261925E-16 MYRUN
902 Q0 XIE19960824.0228 9 7.014834012390927E-16 MYRUN
902 Q0 NYT19990406.0096 10 6.694055406155098E-16 MYRUN
902 Q0 NYT20000610.0114 11 5.631451377421376E-16 MYRUN
902 Q0 NYT20000718.0055 12 3.7614946143548906E-16 MYRUN
902 Q0 XIE19960125.0114 13 3.6952789796040017E-16 MYRUN
902 Q0 NYT20000301.0275 14 2.966422146310365E-16 MYRUN
902 Q0 NYT20000511.0473 15 2.7567184070432624E-16 MYRUN
902 Q0 XIE19970620.0051 16 1.2711250096243634E-16 MYRUN
902 Q0 NYT20000321.0236 17 8.178754345088817E-17 MYRUN
902 Q0 NYT20000321.0235 18 8.178754345088817E-17 MYRUN
902 Q0 XIE19960127.0031 19 7.778141936117256E-17 MYRUN
902 Q0 NYT19980706.0290 20 7.227758960805675E-17 MYRUN
903	Star Trek "The Next Generation"
903 Q0 NYT19980902.0355 1 2.8470146028708675E-12 MYRUN
903 Q0 NYT19990224.0222 2 2.480427130579524E-12 MYRUN
